1,AC,ACRE,1,BRASIL
2,AL,ALAGOAS,2,BRASIL
3,AM,AMAZONAS,1,BRASIL
4,AP,AMAPA,1,BRASIL
5,BA,BAHIA,2,BRASIL
6,CE,CEARA,2,BRASIL
7,DF,DISTRITO FEDERAL,5,BRASIL
8,ES,ESPIRITO SANTO,3,BRASIL
9,GO,GOIAS,5,BRASIL
10,MA,MARANHAO,2,BRASIL
11,MG,MINAS GERAIS,3,BRASIL
12,MS,MATO GROSSO DO SUL,5,BRASIL
13,MT,MATO GROSSO,5,BRASIL
14,PA,PARA,1,BRASIL
15,PB,PARAIBA,2,BRASIL
16,PE,PERNAMBUCO,2,BRASIL
17,PI,PIAUI,2,BRASIL
18,PR,PARANA,4,BRASIL
19,RJ,RIO DE JANEIRO,3,BRASIL
20,RN,RIO GRANDE DO NORTE,2,BRASIL
21,RO,RONDONIA,1,BRASIL
22,RR,RORAIMA,1,BRASIL
23,RS,RIO GRANDE DO SUL,4,BRASIL
24,SC,SANTA CATARINA,4,BRASIL
25,SE,SERGIPE,2,BRASIL
26,SP,SAO PAULO,3,BRASIL
27,TO,TOCANTINS,1,BRASIL
28,AK,Alaska,1,ESTADOS UNIDOS
29,AL,Alabama,2,ESTADOS UNIDOS
30,AR,Arkansas,3,ESTADOS UNIDOS
31,AZ,Arizona,4,ESTADOS UNIDOS
32,CA,California,5,ESTADOS UNIDOS
33,CO,Colorado,1,ESTADOS UNIDOS
34,CT,Connecticut,1,ESTADOS UNIDOS
35,DC,District of Columbia,2,ESTADOS UNIDOS
36,DE,Delaware,2,ESTADOS UNIDOS
37,FL,Florida,3,ESTADOS UNIDOS
38,GA,Georgia,3,ESTADOS UNIDOS
39,HI,Hawaii,4,ESTADOS UNIDOS
40,IA,Iowa,4,ESTADOS UNIDOS
41,ID,Idaho,5,ESTADOS UNIDOS
42,IL,Illinois,5,ESTADOS UNIDOS
43,IN,Indiana,2,ESTADOS UNIDOS
44,KS,Kansas,2,ESTADOS UNIDOS
45,KY,Kentucky,1,ESTADOS UNIDOS
46,LA,Louisiana,1,ESTADOS UNIDOS
47,MA,Massachusetts,1,ESTADOS UNIDOS
48,MD,Maryland,2,ESTADOS UNIDOS
49,ME,Maine,2,ESTADOS UNIDOS
50,MI,Michigan,2,ESTADOS UNIDOS
51,MN,Minnesota,3,ESTADOS UNIDOS
52,MO,Missouri,3,ESTADOS UNIDOS
53,MS,Mississippi,3,ESTADOS UNIDOS
54,MT,Montana,3,ESTADOS UNIDOS
55,NC,North Carolina,3,ESTADOS UNIDOS
56,ND,North Dakota,4,ESTADOS UNIDOS
57,NE,Nebraska,4,ESTADOS UNIDOS
58,NH,New Hampshire,4,ESTADOS UNIDOS
59,NJ,New Jersey,4,ESTADOS UNIDOS
60,NM,New Mexico,3,ESTADOS UNIDOS
61,NV,Nevada,3,ESTADOS UNIDOS
62,NY,New York,3,ESTADOS UNIDOS
